Timestamp,VOC(ug/m³),HCHO(ug/m³),PM2.5(ug/m³)
2025-03-27T11:25:51.536793,150,9,0
2025-03-27T11:25:52.612943,150,9,0
2025-03-27T11:25:53.676423,150,9,0
2025-03-27T11:25:53.678918,150,9,0
2025-03-27T11:25:54.746662,150,9,0
2025-03-27T11:25:55.828027,150,9,0
2025-03-27T11:25:55.848495,150,9,0
2025-03-27T11:25:56.943450,150,9,0
2025-03-27T11:25:58.043497,150,9,0
2025-03-27T11:25:59.130090,150,9,0
2025-03-27T11:26:00.226807,150,9,0
2025-03-27T11:26:01.329459,150,9,0
2025-03-27T11:26:02.418933,150,9,0
2025-03-27T11:26:03.507692,150,9,0
2025-03-27T11:26:04.604068,150,9,0
2025-03-27T11:26:05.703171,150,9,0
2025-03-27T11:26:06.816853,150,9,0
2025-03-27T11:26:07.919692,150,9,0
2025-03-27T11:26:07.919692,150,9,0
2025-03-27T11:26:09.038703,150,9,0
2025-03-27T11:26:10.140781,150,10,0
2025-03-27T11:26:11.259297,150,10,0
2025-03-27T11:26:12.374721,150,10,0
2025-03-27T11:26:13.496286,150,10,0
2025-03-27T11:26:14.609407,1230,19,0
2025-03-27T11:26:15.720340,1550,100,0
2025-03-27T11:26:16.834244,1520,181,0
2025-03-27T11:26:17.950220,1510,212,0
2025-03-27T11:26:17.951344,1500,260,0
2025-03-27T11:26:19.082148,1470,278,0
2025-03-27T11:26:20.203243,1420,286,0
2025-03-27T11:26:21.326678,1420,208,0
2025-03-27T11:26:22.457923,1390,168,0
2025-03-27T11:26:23.580660,1340,109,0
2025-03-27T11:26:24.729059,1280,86,0
2025-03-27T11:26:25.862547,1210,49,0
2025-03-27T11:26:27.014964,1200,23,0
2025-03-27T11:26:27.016116,1140,20,0
2025-03-27T11:26:28.163838,1120,17,0
2025-03-27T11:26:29.309432,1040,9,0
2025-03-27T11:26:30.469715,980,9,0
2025-03-27T11:26:31.621126,960,7,0
2025-03-27T11:26:32.769127,900,6,0
2025-03-27T11:26:33.923601,860,6,0
2025-03-27T11:26:33.940410,820,6,0
2025-03-27T11:26:35.107778,770,6,0
2025-03-27T11:26:36.258357,730,7,0
2025-03-27T11:26:37.405535,700,7,0
2025-03-27T11:26:38.569882,690,7,0
2025-03-27T11:26:39.730459,690,7,0
2025-03-27T11:26:40.893456,600,7,0
2025-03-27T11:26:42.057802,530,7,0
2025-03-27T11:26:42.059047,470,7,0
2025-03-27T11:26:43.240674,420,7,0
2025-03-27T11:26:44.417347,380,7,0
2025-03-27T11:26:45.598781,360,7,0
2025-03-27T11:26:46.783119,340,6,0
2025-03-27T11:26:47.978629,330,6,0
2025-03-27T11:26:47.979853,330,5,0
2025-03-27T11:26:49.172916,240,6,0
2025-03-27T11:26:50.376759,160,6,0
2025-03-27T11:26:51.573702,150,6,0
2025-03-27T11:26:52.769699,150,6,0
2025-03-27T11:26:53.967342,150,6,0
2025-03-27T11:26:53.987748,150,5,0
2025-03-27T11:26:55.197211,150,6,0
2025-03-27T11:26:56.397659,150,6,0
2025-03-27T11:26:57.610707,150,6,0
2025-03-27T11:26:58.833479,150,6,0
2025-03-27T11:27:00.043422,150,6,0
2025-03-27T11:27:00.043422,150,6,0
2025-03-27T11:27:01.251792,150,6,0
2025-03-27T11:27:02.476457,150,6,0
2025-03-27T11:27:03.686703,150,5,0
2025-03-27T11:27:04.901862,150,6,0
2025-03-27T11:27:06.114648,150,6,0
2025-03-27T11:27:06.115865,150,6,0
2025-03-27T11:27:07.344928,150,6,0
2025-03-27T11:27:08.572022,150,6,0
2025-03-27T11:27:09.800264,150,6,0
2025-03-27T11:27:11.031599,150,6,0
2025-03-27T11:27:11.032637,150,6,0
2025-03-27T11:27:12.261490,150,6,0
2025-03-27T11:27:13.488165,150,6,0
2025-03-27T11:27:14.737327,150,6,0
2025-03-27T11:27:15.967572,150,7,0
2025-03-27T11:27:17.216035,150,7,0
2025-03-27T11:27:17.217181,150,7,0
2025-03-27T11:27:18.464335,150,7,0
2025-03-27T11:27:19.718996,150,7,0
2025-03-27T11:27:20.960811,150,7,0
2025-03-27T11:27:22.223791,150,6,0
2025-03-27T11:27:22.226167,150,6,0
2025-03-27T11:27:23.483883,150,6,0
2025-03-27T11:27:24.735145,150,6,0
2025-03-27T11:27:26.005469,150,6,0
2025-03-27T11:27:27.270907,150,6,0
2025-03-27T11:27:27.273003,150,6,0
2025-03-27T11:27:28.558458,150,6,0
2025-03-27T11:27:29.837447,150,6,0
2025-03-27T11:27:31.116099,150,6,0
2025-03-27T11:27:31.117225,150,6,0
2025-03-27T11:27:32.392496,150,6,0
2025-03-27T11:27:33.686887,150,6,0
2025-03-27T11:27:34.959149,150,6,0
